,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,MA_5,MA_10,MA_20,MA_30,Volatility_5,Volatility_20,Momentum_5,Momentum_10,RSI_14,BB_Middle,BB_Upper,BB_Lower,BB_Position,Price_Rank_20,day_of_week,month,quarter,is_month_end,is_quarter_end,trading_status,abnormal_move,return_1d,return_5d,return_20d,volatility_5d,volatility_20d,max_drawdown_20,day_sin,day_cos,month_sin,month_cos
724,2015-09-15,1.355,1.494,-3.35,1.0,1.0,1,1.4598,1.4465,1.53745,1.6351666666666667,3.7866977698253157,4.764757242394135,-0.08507765023632685,-0.13473818646232438,40.3041825095057,1.53745,1.8702869128061352,1.2046130871938647,0.22591681844755282,0.0,1,9,3,0,0,2.0,0,-0.0335,-0.0852,-0.3216,0.03786697769825315,0.04764757242394137,-0.2990170719089498,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16
725,2015-09-16,1.452,1.591,7.16,1.0,1.0,1,1.4454,1.441,1.5134,1.627333333333333,5.270210621977078,5.1300328048607415,-0.047244094488189003,-0.03649635036496346,53.47938144329897,1.5134,1.7907866008223772,1.236013399177623,0.3893241421576141,0.20770877944325472,2,9,3,0,0,2.0,1,0.0716,-0.0426,-0.2589,0.052702106219770777,0.05130032804860742,-0.25631174533479695,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16
726,2015-09-17,1.424,1.563,-1.93,1.0,1.0,1,1.4285999999999999,1.4438,1.4951,1.6154333333333333,5.293120062874072,4.929279759495135,-0.0557029177718833,0.02005730659025784,51.810237203495625,1.4951,1.7423023675580782,1.247897632441922,0.3561906977219872,0.1477516059957172,3,9,3,0,0,2.0,0,-0.019299999999999998,-0.051399999999999994,-0.2042,0.05293120062874072,0.049292797594951365,-0.25631174533479695,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16
727,2015-09-18,1.443,1.582,1.33,1.0,1.0,1,1.4152,1.4502,1.47615,1.6045333333333334,5.3851573793158565,4.916530012968603,-0.044370860927152256,0.046410442349528624,48.257372654155496,1.47615,1.670239805583865,1.2820601944161352,0.4146013880010918,0.22391857506361343,4,9,3,0,0,2.0,0,0.013300000000000001,-0.0394,-0.2088,0.05385157379315856,0.04916530012968604,-0.2248283752860412,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16
728,2015-09-21,1.508,1.647,4.5,1.0,1.0,1,1.4364000000000001,1.4607,1.46415,1.5963999999999998,4.368726359020442,5.0118232841530785,0.07560627674750364,0.07483962936564503,45.938375350140056,1.46415,1.6115260317583757,1.3167739682416244,0.6487691026716353,0.51,0,9,3,0,0,2.0,0,0.045,0.0771,-0.1232,0.043687263590204424,0.05011823284153079,-0.1812688821752266,0.0,1.0,-1.0,-1.8369701987210297e-16
729,2015-09-22,1.517,1.656,0.6,1.0,1.0,1,1.4687999999999999,1.4643,1.45725,1.5866333333333331,3.541831447147084,4.892786311983882,0.11955719557195565,0.024307900067521704,50.75301204819277,1.45725,1.5774128281256794,1.3370871718743205,0.748620979266179,0.7677725118483406,1,9,3,0,0,2.0,0,0.006,0.11660000000000001,-0.06400000000000002,0.03541831447147084,0.04892786311983883,-0.13473818646232444,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16
730,2015-09-23,1.494,1.633,-1.52,1.0,1.0,1,1.4771999999999998,1.4613,1.45655,1.5729,2.5806065178558337,4.473934568846061,0.02892561983471076,-0.019685039370078705,58.50694444444445,1.45655,1.5756262250343231,1.3374737749656769,0.657252213820203,0.6587677725118481,2,9,3,0,0,2.0,0,-0.0152,0.029800000000000014,0.009600000000000004,0.025806065178558338,0.04473934568846062,-0.13473818646232444,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16
731,2015-09-24,1.504,1.643,0.67,1.0,1.0,1,1.4932,1.4608999999999999,1.46185,1.5594666666666666,2.1743343809083298,4.127432488529452,0.056179775280899014,-0.0026525198938992522,60.984182776801404,1.46185,1.5793794364023597,1.3443205635976405,0.6793167792266963,0.7061611374407581,3,9,3,0,0,2.0,0,0.0067,0.05580000000000001,0.08920000000000002,0.021743343809083302,0.04127432488529452,-0.13473818646232444,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16
732,2015-09-25,1.455,1.594,-3.26,1.0,1.0,1,1.4956,1.4553999999999998,1.46485,1.5455,2.906926211653817,4.20849551190021,0.008316008316008316,-0.03642384105960261,54.37710437710438,1.46485,1.5781828121763204,1.3515171878236796,0.45654391781668874,0.47393364928909976,4,9,3,0,0,2.0,0,-0.0326,0.009900000000000013,0.05870000000000001,0.02906926211653817,0.04208495511900211,-0.13473818646232444,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16
733,2015-09-28,1.5,1.639,3.09,1.0,1.0,1,1.494,1.4652,1.4664,1.5320666666666667,2.4114165961110934,4.097678546895085,-0.0053050397877983935,0.06990014265335232,51.6934046345811,1.4664,1.5808145739704769,1.351985426029523,0.6468344409020397,0.6872037914691942,0,9,3,0,0,2.0,0,0.030899999999999997,-0.0041999999999999885,0.0366,0.02411416596111093,0.04097678546895085,-0.13473818646232444,0.0,1.0,-1.0,-1.8369701987210297e-16
734,2015-09-29,1.473,1.612,-1.8,1.0,1.0,1,1.4852,1.4769999999999999,1.46175,1.5172999999999999,2.4791389634306533,3.826877385848127,-0.029004614370467863,0.08708487084870864,45.321100917431195,1.46175,1.5662505666063888,1.3572494333936114,0.5538274593398818,0.6982248520710064,1,9,3,0,0,2.0,0,-0.018000000000000002,-0.02819999999999999,-0.047400000000000005,0.024791389634306524,0.03826877385848127,-0.1108923884514436,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16
735,2015-09-30,1.472,1.611,-0.07,1.0,1.0,1,1.4808000000000001,1.4789999999999999,1.46,1.5019333333333333,2.423536671890899,3.735435717556923,-0.014725568942436373,0.01377410468319562,46.60377358490565,1.46,1.5624623165646432,1.3575376834353567,0.5585581138624229,0.6923076923076921,2,9,3,1,1,2.0,0,-0.0007000000000000001,-0.01369999999999999,-0.010400000000000006,0.024235366718908982,0.03735435717556923,-0.1108923884514436,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16
736,2015-10-08,1.534,1.673,4.21,1.0,1.0,1,1.4868000000000001,1.49,1.4669,1.4934,3.17028863039314,3.4260827716058966,0.019946808510638236,0.077247191011236,52.03389830508475,1.4669,1.569800872074477,1.3639991279255232,0.8260419403998578,1.0,3,10,4,0,0,2.0,0,0.0421,0.021700000000000007,0.1054,0.0317028863039314,0.03426082771605896,-0.1108923884514436,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001
737,2015-10-09,1.553,1.692,1.24,1.0,1.0,1,1.5064,1.5010000000000001,1.4756,1.4844333333333333,2.4060818772435844,3.404150717177952,0.06735395189003435,0.07623007623007605,65.06986027944113,1.4756,1.5766146419819447,1.3745853580180554,0.8831127769271032,1.0,4,10,4,0,0,2.0,0,0.0124,0.0667,0.13,0.024060818772435846,0.03404150717177951,-0.1108923884514436,-0.8660254037844385,-0.5000000000000004,-0.8660254037844386,0.5000000000000001
738,2015-10-12,1.613,1.752,3.86,1.0,1.0,1,1.529,1.5115,1.4861,1.479933333333333,2.565905298330398,3.4722045173817633,0.07533333333333325,0.06962864721485418,75.09727626459144,1.4861,1.59837016288261,1.37382983711739,1.0651546089439947,1.0,0,10,4,0,0,2.0,0,0.038599999999999995,0.07440000000000001,0.1512,0.025659052983303985,0.03472204517381763,-0.1108923884514436,0.0,1.0,-0.8660254037844386,0.5000000000000001
739,2015-10-13,1.63,1.769,1.05,1.0,1.0,1,1.5604,1.5228,1.4935500000000002,1.4790999999999999,1.876957644700596,3.285205232714181,0.1065852002715546,0.07448912326961099,70.50691244239633,1.4935500000000002,1.6228745204087414,1.364225479591259,1.0275488343924952,1.0,1,10,4,0,0,2.0,0,0.0105,0.1029,0.1061,0.018769576447005967,0.03285205232714181,-0.1108923884514436,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001
740,2015-10-14,1.601,1.74,-1.78,1.0,1.0,1,1.5861999999999998,1.5335,1.4974,1.4822,2.434590314611477,3.2742026349535616,0.0876358695652173,0.07161981258366801,70.34482758620692,1.4974,1.6348694607234002,1.3599305392766,0.8768109638854684,0.8945454545454549,2,10,4,0,0,2.0,0,-0.0178,0.08580000000000002,0.0593,0.02434590314611477,0.03274202634953562,-0.10264900662251657,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001
741,2015-10-15,1.655,1.794,3.37,1.0,1.0,1,1.6103999999999998,1.5486,1.50475,1.4907666666666666,2.240729791831226,3.3272730655345355,0.07887874837027375,0.10039893617021267,72.55319148936172,1.50475,1.6592677557502982,1.350232244249702,0.9861900798080615,1.0,3,10,4,0,0,2.0,0,0.0337,0.07740000000000001,0.10350000000000001,0.022407297918312263,0.033272730655345355,-0.10264900662251657,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001
742,2015-10-16,1.672,1.811,1.03,1.0,1.0,1,1.6341999999999999,1.5703,1.5128499999999998,1.5,2.2498955531313025,3.327842473182256,0.07662588538312942,0.1491408934707903,69.43127962085309,1.5128499999999998,1.6845551021526926,1.341144897847307,0.9634399269582342,1.0,4,10,4,0,0,2.0,0,0.0103,0.07530000000000002,0.1125,0.022498955531313026,0.03327842473182257,-0.040870138431113937,-0.8660254037844385,-0.5000000000000004,-0.8660254037844386,0.5000000000000001
743,2015-10-19,1.658,1.797,-0.84,1.0,1.0,1,1.6432000000000002,1.5860999999999998,1.52565,1.5063,1.9869901861861348,2.818264863724712,0.027898326100433968,0.10533333333333328,66.5105386416862,1.52565,1.700696790737139,1.3506032092628608,0.8780417779802223,0.9558359621451104,0,10,4,0,0,2.0,0,-0.0084,0.028300000000000013,0.1756,0.01986990186186135,0.028182648637247124,-0.040870138431113937,0.0,1.0,-0.8660254037844386,0.5000000000000001
744,2015-10-20,1.702,1.841,2.65,1.0,1.0,1,1.6576,1.609,1.543,1.5108333333333333,2.2016652788287345,2.6593798248147227,0.04417177914110426,0.15546503733876427,73.21428571428572,1.543,1.7155987131744528,1.370401286825547,0.9606059833113935,1.0,1,10,4,0,0,2.0,0,0.0265,0.04430000000000001,0.2356,0.02201665278828735,0.02659379824814723,-0.040870138431113937,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001
745,2015-10-21,1.623,1.762,-4.64,1.0,1.0,1,1.6620000000000001,1.6240999999999999,1.55155,1.5147000000000002,3.2086804141266563,2.56983022171136,0.013741411617739008,0.10258152173913038,61.50870406189556,1.55155,1.7220976935917838,1.3810023064082162,0.7094721965898287,0.7158273381294966,2,10,4,0,0,2.0,0,-0.0464,0.01570000000000002,0.11760000000000004,0.032086804141266564,0.025698302217113604,-0.04641598119858987,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001
746,2015-10-22,1.712,1.851,5.48,1.0,1.0,1,1.6734000000000002,1.6419000000000001,1.56595,1.5252333333333332,3.796067702241362,2.717607839336106,0.03444108761329301,0.1160365058670143,73.07001795332137,1.56595,1.7397550632173968,1.392144936782603,0.9201546183304207,1.0,3,10,4,0,0,2.0,1,0.0548,0.03680000000000002,0.19170000000000004,0.03796067702241362,0.027176078393361062,-0.04641598119858987,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001
747,2015-10-23,1.787,1.926,4.38,1.0,1.0,1,1.6964,1.6652999999999998,1.5831499999999998,1.5388333333333333,4.140903283101407,2.823081369895781,0.06877990430622005,0.1506761107533805,74.44633730834754,1.5831499999999998,1.7730633043204134,1.3932366956795863,1.036692257368323,1.0,4,10,4,0,0,2.0,0,0.0438,0.07030000000000002,0.2222,0.04140903283101407,0.02823081369895781,-0.04641598119858987,-0.8660254037844385,-0.5000000000000004,-0.8660254037844386,0.5000000000000001
748,2015-10-26,1.765,1.904,-1.23,1.0,1.0,1,1.7178,1.6804999999999999,1.5959999999999999,1.5509,4.197078745985118,2.7508782808022385,0.06453558504221957,0.09423434593924362,75.08591065292094,1.5959999999999999,1.7988419140741536,1.3931580859258461,0.916580569088443,0.9337349397590361,0,10,4,0,0,2.0,0,-0.0123,0.06640000000000003,0.16490000000000002,0.04197078745985118,0.027508782808022388,-0.04641598119858987,0.0,1.0,-0.8660254037844386,0.5000000000000001
749,2015-10-27,1.793,1.932,1.59,1.0,1.0,1,1.736,1.6968,1.6098,1.5613,4.139991545885089,2.7555291783306495,0.0534665099882492,0.10000000000000009,76.35467980295567,1.6098,1.8270542531834968,1.392545746816503,0.9216258078162133,1.0,1,10,4,0,0,2.0,0,0.0159,0.05580000000000002,0.1748,0.04139991545885089,0.027555291783306502,-0.04641598119858987,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001
750,2015-10-28,1.734,1.873,-3.29,1.0,1.0,1,1.7582,1.7101,1.6218,1.5683,3.690356351356874,2.8628003864453393,0.06839186691312382,0.08307307932542152,66.50165016501651,1.6218,1.8386352272797868,1.404964772720213,0.7587217985923158,0.8254437869822486,2,10,4,0,0,2.0,0,-0.0329,0.06930000000000001,0.15710000000000002,0.03690356351356872,0.0286280038644534,-0.04641598119858987,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001
751,2015-10-29,1.737,1.876,0.17,1.0,1.0,1,1.7631999999999999,1.7183,1.6334499999999998,1.5759333333333332,2.8962700150365848,2.866043440005752,0.014602803738317904,0.049546827794561876,65.59322033898306,1.6334499999999998,1.8486673686984318,1.4182326313015678,0.7405707323396773,0.8343195266272194,3,10,4,0,0,2.0,0,0.0017000000000000001,0.01620000000000002,0.15210000000000004,0.02896270015036583,0.028660434400057527,-0.04641598119858987,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001
752,2015-10-30,1.732,1.871,-0.29,1.0,1.0,1,1.7521999999999998,1.7243,1.6473,1.5833333333333333,1.810911372762351,2.7199843265802306,-0.0307778399552322,0.035885167464114964,61.12149532710281,1.6473,1.8494173187193983,1.4451826812806017,0.7095317722812016,0.8099688473520251,4,10,4,0,0,2.0,0,-0.0029,-0.03049999999999998,0.18180000000000002,0.018109113727623468,0.027199843265802312,-0.04641598119858987,-0.8660254037844385,-0.5000000000000004,-0.8660254037844386,0.5000000000000001
753,2015-11-02,1.678,1.817,-3.12,1.0,1.0,1,1.7348,1.7262999999999997,1.6562000000000001,1.5925333333333331,2.140028037199518,2.810842306797771,-0.04929178470254958,0.012062726176115923,54.1958041958042,1.6562000000000001,1.8463274918519093,1.466072508148091,0.5573299520959859,0.6417445482866043,0,11,4,0,0,2.0,0,-0.031200000000000002,-0.049399999999999986,0.11970000000000004,0.021400280371995144,0.028108423067977718,-0.06413831567205801,0.0,1.0,-0.5000000000000004,0.8660254037844384
754,2015-11-03,1.678,1.817,0.0,1.0,1.0,1,1.7117999999999998,1.7239,1.66645,1.6033000000000002,1.7423633375389942,2.7583295383447695,-0.06413831567205797,-0.014101057579318454,57.0902394106814,1.66645,1.8359799694045829,1.4969200305954171,0.5340647734455608,0.6417445482866043,1,11,4,0,0,2.0,0,0.0,-0.06529999999999998,0.13770000000000004,0.017423633375389894,0.027583295383447698,-0.06413831567205801,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
755,2015-11-04,1.762,1.901,5.01,1.0,1.0,1,1.7174,1.7378,1.68095,1.6136333333333335,2.9292029632649252,2.914293044182144,0.016147635524798254,0.08564386937769553,59.33682373472949,1.68095,1.8286559311783592,1.5332440688216407,0.7743627129709835,0.8803088803088805,2,11,4,0,0,2.0,1,0.0501,0.01770000000000002,0.1885,0.029292029632649232,0.02914293044182144,-0.06413831567205801,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384
756,2015-11-05,1.742,1.881,-1.14,1.0,1.0,1,1.7184000000000001,1.7408000000000001,1.69135,1.6242333333333332,3.007319404386574,2.8432570278319536,0.0028785261945882823,0.017523364485981352,56.07638888888889,1.69135,1.8240154280115082,1.5586845719884916,0.6908937420968724,0.7875000000000003,3,11,4,0,0,2.0,0,-0.011399999999999999,0.0046000000000000225,0.135,0.030073194043865725,0.02843257027831954,-0.06413831567205801,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384
